depth,n1,n2,n3,delay_ms,offline_ms,edge_online_ms,fog_transition_tcp_ms,cloud_transition_tcp_ms,total_ms,offline_bytes,online_edge_bytes,fog_transition_model_bytes,cloud_transition_model_bytes,fog_transition_tcp_wire_bytes,cloud_transition_tcp_wire_bytes,tcp_wire_bytes,total_model_bytes,correct,run
50,5,3,2,0.0,5.43299998389557,2.2953000152483582,89.96810001553968,42.608599993400276,140.30500000808388,12000,8400,2160,960,5496,2554,8050,23520,True,0
50,5,3,2,0.0,5.093500018119812,1.2302999966777861,41.740700020454824,18.81929999217391,66.88380002742633,12000,8400,2160,960,5499,2557,8056,23520,True,1
50,5,3,2,0.0,5.310899985488504,1.2888000346720219,37.92030003387481,17.097299976740032,61.61730003077537,12000,8400,2160,960,5499,2557,8056,23520,True,2
50,5,3,2,0.0,4.972899972926825,1.289999985601753,36.59450000850484,38.889699964784086,81.7470999318175,12000,8400,2160,960,5506,2553,8059,23520,True,3
50,5,3,2,0.0,4.68919996637851,1.135899976361543,40.81630002474412,17.861800035461783,64.50320000294596,12000,8400,2160,960,5502,2555,8057,23520,True,4
