n1,n2,n3,depth,offline_ms,edge_online_ms,fog_transition_ms,cloud_transition_ms,total_ms,offline_bytes,online_edge_bytes,fog_transition_bytes,cloud_transition_bytes,total_bytes,correct,run
5,3,2,10,1.027099962811917,0.43429998913779855,474.9667000141926,211.62409998942167,688.052199955564,2400,2000,2160,960,7520,True,0
5,3,2,10,0.9626999963074923,0.3716999781318009,473.4007000224665,204.47519997833297,679.2102999752387,2400,2000,2160,960,7520,True,1
5,3,2,10,0.9585999650880694,0.35370001569390297,509.40679997438565,214.24760000081733,724.966699955985,2400,2000,2160,960,7520,True,2
5,3,2,10,0.957000011112541,0.3445000038482249,516.5574999991804,210.4045000160113,728.2635000301525,2400,2000,2160,960,7520,True,3
5,3,2,10,0.9761999826878309,0.3541000187397003,499.07750001875684,202.08529999945313,702.4931000196375,2400,2000,2160,960,7520,True,4
5,3,2,25,6.092499999795109,0.6302000256255269,519.2258000024594,247.73689999710768,773.6854000249878,6000,4400,2160,960,13520,True,0
5,3,2,25,2.80180003028363,0.7772999815642834,496.5030999737792,203.7786000291817,703.8608000148088,6000,4400,2160,960,13520,True,1
5,3,2,25,2.3082999978214502,0.6411999929696321,491.3343000225723,204.4659000239335,698.7497000372969,6000,4400,2160,960,13520,True,2
5,3,2,25,2.2711000056006014,0.6372000207193196,474.99759995844215,204.71250003902242,682.6184000237845,6000,4400,2160,960,13520,True,3
5,3,2,25,2.3150999913923442,0.6422000005841255,467.3039999906905,217.9667999735102,688.2280999561772,6000,4400,2160,960,13520,True,4
5,3,2,50,4.694800009019673,1.1388000566512346,472.7067000349052,204.99689999269322,683.5372000932693,12000,8400,2160,960,23520,True,0
5,3,2,50,4.7842999920248985,1.0937000042758882,477.5143999722786,200.92099998146296,684.3133999500424,12000,8400,2160,960,23520,True,1
5,3,2,50,4.57530003041029,1.131800003349781,475.6106000277214,206.92159997997805,688.2393000414595,12000,8400,2160,960,23520,True,2
5,3,2,50,4.623900051228702,1.133300014771521,510.45519998297095,224.65660003945231,740.8690000884235,12000,8400,2160,960,23520,True,3
5,3,2,50,4.385900043416768,1.1023000115528703,468.6054000048898,209.9504999932833,684.0441000531428,12000,8400,2160,960,23520,True,4
