n1,depth,edge_to_fog_eta,fog_to_cloud_eta,edge_to_fog_real_bytes,fog_to_cloud_real_bytes,edge_to_fog_ideal_bytes,fog_to_cloud_ideal_bytes
3,10,0.037037037037037035,0.03333333333333333,1296,960,48,32
3,25,0.037037037037037035,0.03333333333333333,1296,960,48,32
3,50,0.037037037037037035,0.03333333333333333,1296,960,48,32
5,10,0.022222222222222223,0.03333333333333333,2160,960,48,32
5,25,0.022222222222222223,0.03333333333333333,2160,960,48,32
5,50,0.022222222222222223,0.03333333333333333,2160,960,48,32
7,10,0.015873015873015872,0.03333333333333333,3024,960,48,32
7,25,0.015873015873015872,0.03333333333333333,3024,960,48,32
7,50,0.015873015873015872,0.03333333333333333,3024,960,48,32
9,10,0.012345679012345678,0.03333333333333333,3888,960,48,32
9,25,0.012345679012345678,0.03333333333333333,3888,960,48,32
9,50,0.012345679012345678,0.03333333333333333,3888,960,48,32
