run,flat_n,flat_depth,flat_offline_ms,flat_online_ms,flat_total_ms,flat_offline_bytes,flat_online_bytes,flat_total_bytes,flat_correct,flat_run,hspdz_n1,hspdz_n2,hspdz_n3,hspdz_depth,hspdz_offline_ms,hspdz_edge_online_ms,hspdz_fog_transition_ms,hspdz_cloud_transition_ms,hspdz_total_ms,hspdz_offline_bytes,hspdz_online_edge_bytes,hspdz_fog_transition_bytes,hspdz_cloud_transition_bytes,hspdz_total_bytes,hspdz_correct,hspdz_run
0,10,50,7.87329999729991,1.7477000365033746,9.621000033803284,24000,16800,40800,True,0,5,3,2,50,5.155599967110902,1.252500049304217,508.9572000433691,213.52430002298206,728.8896000827663,12000,8400,2160,960,23520,True,0
1,10,50,8.438899996690452,1.8138000159524381,10.25270001264289,24000,16800,40800,True,1,5,3,2,50,9.48509998852387,1.1546000023372471,471.9329999643378,203.52430001366884,686.0969999688677,12000,8400,2160,960,23520,True,1
2,10,50,7.533799973316491,1.8498999997973442,9.383699973113835,24000,16800,40800,True,2,5,3,2,50,5.069300008472055,1.1783000081777573,479.753699968569,204.14540002821013,690.1467000134289,12000,8400,2160,960,23520,True,2
3,10,50,7.779300038237125,1.9583000103011727,9.737600048538297,24000,16800,40800,True,3,5,3,2,50,4.635299963410944,1.1282000341452658,478.0260999687016,212.14319998398423,695.932799950242,12000,8400,2160,960,23520,True,3
4,10,50,7.360499992500991,1.8402000423520803,9.200700034853071,24000,16800,40800,True,4,5,3,2,50,4.709300003014505,1.1996999965049326,476.02599998936057,204.8142999992706,686.7492999881506,12000,8400,2160,960,23520,True,4
